iter	Passed	Remaining
1524	8214	99521
1525	8220	99519
1526	8225	99513
1527	8229	99482
1528	8235	99485
1529	8241	99486
1530	8247	99486
1531	8252	99487
1532	8258	99487
1533	8264	99489
1534	8270	99482
1535	8273	99451
1536	8278	99443
1537	8284	99442
1538	8290	99442
1539	8295	99434
1540	8300	99426
1541	8305	99419
1542	8307	99376
1543	8313	99373
1544	8319	99372
1545	8325	99374
1546	8330	99373
1547	8337	99380
1548	8343	99383
1549	8349	99380
1550	8354	99372
1551	8359	99370
1552	8365	99371
1553	8371	99372
1554	8377	99372
1555	8379	99330
1556	8385	99329
1557	8391	99331
1558	8397	99327
1559	8403	99329
1560	8409	99331
1561	8414	99331
1562	8420	99330
1563	8422	99287
1564	8428	99288
1565	8434	99288
1566	8440	99292
1567	8447	99297
1568	8452	99295
1569	8458	99296
1570	8465	99300
1571	8470	99295
1572	8475	99289
1573	8481	99284
1574	8487	99288
1575	8492	99284
1576	8495	99242
1577	8500	99242
1578	8506	99239
1579	8512	99236
1580	8518	99240
1581	8524	99247
1582	8530	99244
1583	8533	99214
1584	8538	99208
1585	8542	99182
1586	8545	99151
1587	8551	99149
1588	8556	99144
1589	8562	99143
1590	8568	99142
1591	8574	99145
1592	8580	99143
1593	8582	99102
1594	8587	99094
1595	8593	99095
1596	8595	99054
1597	8599	99023
1598	8604	99022
1599	8610	99021
1600	8612	98981
1601	8615	98938
1602	8621	98940
1603	8626	98934
1604	8629	98905
1605	8631	98863
1606	8635	98834
1607	8641	98834
1608	8643	98793
1609	8648	98789
1610	8654	98786
1611	8659	98783
1612	8665	98783
1613	8671	98781
1614	8677	98779
1615	8678	98730
1616	8684	98727
1617	8690	98729
1618	8695	98721
1619	8701	98721
1620	8707	98728
1621	8710	98697
1622	8713	98657
1623	8718	98651
1624	8724	98653
1625	8730	98652
1626	8735	98651
1627	8741	98643
1628	8747	98647
1629	8753	98648
1630	8758	98642
1631	8764	98640
1632	8769	98638
1633	8773	98608
1634	8779	98609
1635	8784	98605
1636	8790	98607
1637	8796	98605
1638	8801	98601
1639	8807	98602
1640	8813	98602
1641	8819	98604
1642	8825	98608
1643	8830	98601
1644	8834	98573
1645	8840	98573
1646	8842	98532
1647	8848	98532
1648	8854	98533
1649	8859	98528
1650	8865	98528
1651	8870	98525
1652	8876	98522
1653	8882	98520
1654	8884	98481
1655	8890	98481
1656	8896	98486
1657	8901	98478
1658	8905	98451
1659	8910	98448
1660	8916	98446
1661	8922	98444
1662	8927	98438
1663	8933	98438
1664	8939	98441
1665	8944	98437
1666	8950	98435
1667	8955	98427
1668	8961	98425
1669	8966	98422
1670	8972	98420
1671	8978	98417
1672	8984	98421
1673	8990	98423
1674	8993	98394
1675	8999	98392
1676	9004	98386
1677	9008	98360
